symbol,name,industry,sector,country,region,revenue,employees,market_cap
ERIC-B.ST,"Ericsson, Telefonab. L M ser. B",Communication Equipment,Technology,Sweden,Europe,247880007680.0,93897.0,278150578176.0
HM-B.ST,"Hennes & Mauritz AB, H & M ser.",Apparel Manufacturing,Consumer Cyclical,Sweden,Europe,234477993984.0,96457.0,217087492096.0
VOLV-B.ST,"Volvo, AB ser. B",Farm & Heavy Construction Machinery,Industrials,Sweden,Europe,526815985664.0,89680.0,624254451712.0
NDA-SE.ST,Nordea Bank Abp,Banks - Regional,Financial Services,Finland,Europe,11816999936.0,30157.0,456956149760.0
SEB-A.ST,Skandinaviska Enskilda Banken s,Banks - Regional,Financial Services,Sweden,Europe,81000996864.0,19000.0,345428459520.0
SAND.ST,Sandvik AB,Specialty Industrial Machinery,Industrials,Sweden,Europe,122878001152.0,36295.0,285750034432.0
SWED-A.ST,Swedbank AB ser A,Banks - Regional,Financial Services,Sweden,Europe,74370998272.0,17567.0,293680283648.0
INVE-B.ST,Investor AB ser. B,Asset Management,Financial Services,Sweden,Europe,176775004160.0,18805.0,947573686272.0
NESN.SW,NESTLE N,Packaged Foods,Consumer Defensive,Switzerland,Europe,91719999488.0,251786.0,235352440832.0
ROG.SW,ROCHE GS,Drug Manufacturers - General,Healthcare,Switzerland,Europe,62394998784.0,103249.0,247149412352.0
NOVN.SW,NOVARTIS N,Drug Manufacturers - General,Healthcare,Switzerland,Europe,51721998336.0,75883.0,196975738880.0
UHR.SW,SWATCH GROUP I,Luxury Goods,Consumer Cyclical,Switzerland,Europe,6735000064.0,32477.0,8317166080.0
ABBN.SW,ABB LTD N,Electrical Equipment & Parts,Industrials,Switzerland,Europe,32849999872.0,109900.0,91967291392.0
SREN.SW,SWISS RE N,Insurance - Reinsurance,Financial Services,Switzerland,Europe,44452999168.0,15000.0,43566616576.0
ZURN.SW,ZURICH INSURANCE N,Insurance - Diversified,Financial Services,Switzerland,Europe,68717998080.0,,86594641920.0
HOLN.SW,HOLCIM N,Building Materials,Basic Materials,Switzerland,Europe,26407000064.0,62391.0,54671806464.0
GIVN.SW,GIVAUDAN N,Specialty Chemicals,Basic Materials,Switzerland,Europe,7411999744.0,16942.0,36056186880.0
