symbol,name,sector,industry,country,region,market_cap,revenue,employees,profit_margin,operating_margin,trailing_pe,data_source
NZX,3237,Unknown,Unknown,United Kingdom,Europe,,,,,,,"investpy, Yahoo Finance"
SCHK,Schwab 1000 Index ETF,Unknown,Unknown,Belgium,Europe,,,,,,24.524181,"investpy, Yahoo Finance"
BRGE,Blackrock Europe,Unknown,Unknown,United Kingdom,Europe,,,,,,,"investpy, Yahoo Finance"
AMDG,Leverage Shares 2X Long AMD Dai,Unknown,Unknown,Austria,Europe,,,,,,,"investpy, Yahoo Finance"
FBD,Fbd Holdings,Unknown,Unknown,Ireland,Europe,,,,,,,"investpy, Yahoo Finance"
VLS,Valneva,Unknown,Unknown,France,Europe,,,,,,,"investpy, Yahoo Finance"
VVL,Voss Veksel La,Unknown,Unknown,Norway,Europe,,,,,,,"investpy, Yahoo Finance"
TFG,Tetragon Financial Group Ltd,Unknown,Unknown,Netherlands,Europe,,,,,,,"investpy, Yahoo Finance"
STGN,57563,Unknown,Unknown,Switzerland,Europe,,,,,,,"investpy, Yahoo Finance"
DISCa,Discovery A,Unknown,Unknown,Germany,Europe,,,,,,,"investpy, Yahoo Finance"
BAG,A.G Barr,Unknown,Unknown,United Kingdom,Europe,,,,,,,"investpy, Yahoo Finance"
TFFP,TF1,Unknown,Unknown,France,Europe,,,,,,,"investpy, Yahoo Finance"
GHP,GHP Special Care,Unknown,Unknown,Sweden,Europe,,,,,,,"investpy, Yahoo Finance"
TUB,Tubize-Fin,Unknown,Unknown,Belgium,Europe,,,,,,,"investpy, Yahoo Finance"
MAIL,MailUp,Unknown,Unknown,Italy,Europe,,,,,,,"investpy, Yahoo Finance"
SOF,Amplify ETF Trust Amplify Samsu,Unknown,Unknown,Belgium,Europe,,,,,,,"investpy, Yahoo Finance"
NVC,18134,Unknown,Unknown,France,Europe,,,,,,,"investpy, Yahoo Finance"
OET,Okeanis Eco Tankers,Unknown,Unknown,Norway,Europe,,,,,,,"investpy, Yahoo Finance"
PSG,Prosegur,Unknown,Unknown,Spain,Europe,,,,,,,"investpy, Yahoo Finance"
DNO,United States Short Oil Fund,Unknown,Unknown,Norway,Europe,,,,,,,"investpy, Yahoo Finance"
AMDG,Leverage Shares 2X Long AMD Dai,Unknown,Unknown,Austria,Europe,,,,,,,"investpy, Yahoo Finance"
MLBAT,Batla Minerals,,,France,Europe,,,,,,,investpy
MWDP,Wendel,,,France,Europe,,,,,,,investpy
FLOWS,Crowdsoft,,,Sweden,Europe,,,,,,,investpy
PNIG,Pennant,,,United Kingdom,Europe,,,,,,,investpy
ARLG,Aareal Bank AG,,,Austria,Europe,,,,,,,investpy
ZIGN,Zignsec,,,Sweden,Europe,,,,,,,investpy
SIGN,Signature,,,Austria,Europe,,,,,,,investpy
ALNSE,NSE SA,,,France,Europe,,,,,,,investpy
CCH,Coca Cola HBC AG,,,United Kingdom,Europe,,,,,,,investpy
PGNG,Paragon AG,,,Germany,Europe,,,,,,,investpy
TSTT,Touchstar,,,United Kingdom,Europe,,,,,,,investpy
INCOAX,InCoax Networks,,,Sweden,Europe,,,,,,,investpy
ASTr,Alpha Astika Akinita SA,,,Greece,Europe,,,,,,,investpy
MGNK,Mologen,,,Germany,Europe,,,,,,,investpy
PAALb,Per Aarsleff B,,,Denmark,Europe,,,,,,,investpy
IFXGnEUR,Infineon,,,Switzerland,Europe,,,,,,,investpy
BLEE,Bleecker,,,France,Europe,,,,,,,investpy
MLXS,Melexis NV,,,Belgium,Europe,,,,,,,investpy
GTTG,Tegna,,,Germany,Europe,,,,,,,investpy
DIGP,Digigram,,,France,Europe,,,,,,,investpy
NS,Nustar,,,Germany,Europe,,,,,,,investpy
EURA,Eurazeo,,,France,Europe,,,,,,,investpy
RMPq,Red Emperor Resources,,,United Kingdom,Europe,,,,,,,investpy
LOTB,Lotus Bakeries,,,Belgium,Europe,,,,,,,investpy
THXLE,Theta Legends,,,Netherlands,Europe,,,,,,,investpy
MLIFE,Global Health Group,,,France,Europe,,,,,,,investpy
SANT1,S&T AG,,,Germany,Europe,,,,,,,investpy
OPpref,Oscar Properties Pref,,,Sweden,Europe,,,,,,,investpy
HRMr,Gek Terna,,,Greece,Europe,,,,,,,investpy
POLO,Polo Resources,,,United Kingdom,Europe,,,,,,,investpy
WAFGn,Siltronic AG,,,Germany,Europe,,,,,,,investpy
SCAb,SCA B,,,Sweden,Europe,,,,,,,investpy
WEHA,Wereldhave,,,Netherlands,Europe,,,,,,,investpy
INFRAC,Infracom,,,Sweden,Europe,,,,,,,investpy
SHA_p,Schaeffler AG,,,Germany,Europe,,,,,,,investpy
MUVGnEUR,Muench. Rueckvers.,,,Switzerland,Europe,,,,,,,investpy
AVMNOK,Avocet Mining,,,Sweden,Europe,,,,,,,investpy
CBOS,Cie Bois Sauvage,,,Belgium,Europe,,,,,,,investpy
BEVA,Bever Holding NV,,,Netherlands,Europe,,,,,,,investpy
TGEL,Toupargel,,,France,Europe,,,,,,,investpy
TLIT,Telecom Italia,,,Italy,Europe,,,,,,,investpy
YOSO,Obsido Socimi SA,,,Spain,Europe,,,,,,,investpy
NESNEE,Nestle,,,Switzerland,Europe,,,,,,,investpy
ALAVY,Audiovalley,,,France,Europe,,,,,,,investpy
HUMAN,Humana,,,Sweden,Europe,,,,,,,investpy
LMPL,Londonmetric Property,,,United Kingdom,Europe,,,,,,,investpy
AACM,AAC Microtec,,,Sweden,Europe,,,,,,,investpy
CONSTI,Consti Yhtiot Oy,,,Finland,Europe,,,,,,,investpy
SOIT,Soitec,,,France,Europe,,,,,,,investpy
SGFI,Sogefi,,,Italy,Europe,,,,,,,investpy
ALMLB,Miliboo SA,,,France,Europe,,,,,,,investpy
NETb,NetEnt,,,Sweden,Europe,,,,,,,investpy
ICIr,Intercontinental Intl RE,,,Greece,Europe,,,,,,,investpy
UN01,Uniper SE,,,Germany,Europe,,,,,,,investpy
IMINT,Imint Image Intelligence AB,,,Sweden,Europe,,,,,,,investpy
HOCN,Hochdorf Holding AG,,,Switzerland,Europe,,,,,,,investpy
BOAr,Attica Bank,,,Greece,Europe,,,,,,,investpy
SINCH,CLX Coms,,,Sweden,Europe,,,,,,,investpy
ALHSW,Horizontal Software,,,France,Europe,,,,,,,investpy
BION,BB Biotech,,,Switzerland,Europe,,,,,,,investpy
AGOL,Ashmore Global Opp,,,United Kingdom,Europe,,,,,,,investpy
JWNG,Jaywing,,,United Kingdom,Europe,,,,,,,investpy
TTSLA,Tesla,,,Italy,Europe,,,,,,,investpy
CGCBV,Cargotec Oyj,,,Finland,Europe,,,,,,,investpy
STRINVS,Aktieselskabet af 23.04,,,Denmark,Europe,,,,,,,investpy
2CRSI,2Crsi,,,France,Europe,,,,,,,investpy
EDNn,Edison RSP,,,Italy,Europe,,,,,,,investpy
AGFB,Agfa Gevaert,,,Belgium,Europe,,,,,,,investpy
SVEG,Sparebanken Vest,,,Norway,Europe,,,,,,,investpy
PRTP,Kering,,,France,Europe,,,,,,,investpy
SIAF-ME,Sino Agro Food,,,Norway,Europe,,,,,,,investpy
NRSNOK,Norway Royal Salmon,,,Sweden,Europe,,,,,,,investpy
NRDF,Nordfyns Bank,,,Denmark,Europe,,,,,,,investpy
BOUVET,Bouvet,,,Norway,Europe,,,,,,,investpy
APME,AD Pepper Media,,,Germany,Europe,,,,,,,investpy
VCC2,Vical,,,Germany,Europe,,,,,,,investpy
AKOyb,Andina B,,,Germany,Europe,,,,,,,investpy
EMASL,Emas Offshore Construction Pte,,,Norway,Europe,,,,,,,investpy
SICT,Sicit Group,,,Italy,Europe,,,,,,,investpy
QUARTpref,Quartiers Properties,,,Sweden,Europe,,,,,,,investpy
CLSRb,Clinical Laserthermia,,,Sweden,Europe,,,,,,,investpy
ABBO,Ab-Biotics S.A.,,,Spain,Europe,,,,,,,investpy
LTEN,Alten,,,France,Europe,,,,,,,investpy
GJFS,Gjensidige Forsikring,,,Norway,Europe,,,,,,,investpy
PSMGn,Prosiebensat,,,Switzerland,Europe,,,,,,,investpy
BE4A,Beazer Homes USA,,,Germany,Europe,,,,,,,investpy
FMEGEUR,Fresenius ST,,,Switzerland,Europe,,,,,,,investpy
COFA,Coface,,,France,Europe,,,,,,,investpy
MANG_p,Man SE VZO,,,Germany,Europe,,,,,,,investpy
BRKN,Burkhalter Holding AG,,,Switzerland,Europe,,,,,,,investpy
DANI,Danieli & C,,,Italy,Europe,,,,,,,investpy
ALDIE,Dietswell,,,France,Europe,,,,,,,investpy
BPET,BMO Private Equity,,,United Kingdom,Europe,,,,,,,investpy
LACP,Lacroix,,,France,Europe,,,,,,,investpy
NAPAT,Napatech,,,Norway,Europe,,,,,,,investpy
MORr,Motor Oil,,,Greece,Europe,,,,,,,investpy
