symbol,valid_symbol,last_updated,data_source,status,name,country,sector,industry,exchange,currency,market_cap,website,employees,forward_pe,trailing_pe,price_to_sales,price_to_book,enterprise_value,profit_margin,operating_margin,return_on_equity,return_on_assets,revenue_annual,net_income,ebitda,fiscal_year_end,total_assets,total_debt,total_equity,cash,debt_to_equity
CCH,CCH.L,2025-03-21T11:32:30.494633,Yahoo Finance,success,COCA-COLA HBC AG ORD CHF6.70 (C,Switzerland,Consumer Defensive,Beverages - Non-Alcoholic,LSE,GBp,12669119488,https://www.coca-colahellenic.com,33000.0,17.053658,18.497355,1.1780405,394.939,14183840768.0,0.0763,0.11022,0.25261998,0.07165,10754400000.0,820600000.0,1624300000.0,2024-12-31,10653700000.0,3980600000.0,3303000000.0,1548100000.0,1.2051468362095066
INCOAX,INCOAX.ST,2025-03-21T11:32:33.183958,Yahoo Finance,success,InCoax Networks AB,Sweden,Technology,Communication Equipment,STO,SEK,212038224,https://www.incoax.com,,-13.916667,,2.1246314,1.634051,172982496.0,-0.19188,-0.64182,-0.2014,-0.10441,74498000.0,-19150000.0,-18533000.0,2024-12-31,137674000.0,,110541000.0,2232000.0,
HOCN,HOCN.SW,2025-03-21T11:33:20.103890,Yahoo Finance,success,HOCN N,Switzerland,Consumer Defensive,Packaged Foods,EBS,CHF,2987777,https://www.hochdorf.com,361.0,13.9,,0.009978815,-0.029828968,2554761.0,-0.50358003,0.00215,-1.6453301,-0.01525,307840000.0,-10210000.0,5977000.0,2023-12-31,271714000.0,67121000.0,157896000.0,14556000.0,0.4250962658965395
SVEG,SVEG.OL,2025-03-21T11:33:30.370665,Yahoo Finance,success,SPAREBANKEN VEST,Norway,Financial Services,Banks - Regional,OSL,NOK,16232761344,https://www.spv.no,824.0,9.494548,8.884754,2.1560316,0.67459357,183169466368.0,0.61788,0.71583,0.18726,0.0144299995,7341000000.0,4653000000.0,,2024-12-31,338167000000.0,166184000000.0,26261000000.0,483000000.0,6.3281672442024295
SKJE,SKJE.CO,2025-03-21T11:33:50.098183,Yahoo Finance,success,Skjern Bank A/S,Denmark,Financial Services,Banks - Regional,CPH,DKK,1895181312,https://www.skjernbank.dk,219.0,,7.058402,2.8729625,1.0871965,-1077727232.0,0.41553003,0.50347,0.16159001,0.02174,677837000.0,274112000.0,,2024-12-31,13249767000.0,102813000.0,1806672000.0,3165698000.0,0.05690739658333112
SWTQ,SWTQ.SW,2025-03-21T11:34:07.932231,Yahoo Finance,success,SCHWEITER N,Switzerland,Industrials,Building Products & Equipment,EBS,CHF,616394176,https://www.schweiter.ch,4534.0,12.676679,46.340153,0.6095068,0.858846,625404672.0,0.013150001,-0.0051700003,0.01809,0.01284,1011300000.0,13300000.0,77100000.0,2024-12-31,1069900000.0,108100000.0,720100000.0,106800000.0,0.1501180391612276
IMMO,IMMO.BR,2025-03-21T11:34:08.401217,Yahoo Finance,success,IMMOBEL,Belgium,Real Estate,Real Estate - Development,BRU,EUR,168945088,https://www.immobelgroup.com,150.0,5.3636365,,0.44752955,0.44289547,996819072.0,-0.24822001,-0.30396,-0.20754999,-0.02852,156378000.0,-38423000.0,-10572000.0,2023-12-31,1728289000.0,964128000.0,501675000.0,132080000.0,1.921817910001495
IBST,IBST.L,2025-03-21T11:34:20.388271,Yahoo Finance,success,IBSTOCK PLC ORD 1P,United Kingdom,Basic Materials,Building Materials,LSE,GBp,671770880,https://www.ibstock.co.uk,,0.15505925,42.525,1.8344021,169.42233,834343680.0,0.04121,0.11097,0.03796,0.03197,405839000.0,21060000.0,77563000.0,2023-12-31,754231000.0,168321000.0,399867000.0,23872000.0,0.4209424633690702
PIRC,PIRC.MI,2025-03-21T11:34:27.412597,Yahoo Finance,success,PIRELLI & C,Italy,Consumer Cyclical,Auto Parts,MIL,EUR,5892003840,https://www.pirelli.com,,9.496774,12.527659,0.8698867,1.1082251,,0.073979996,0.12286,0.08691,0.05296,6650063000.0,479080000.0,1392869000.0,2023-12-31,13530927000.0,3964205000.0,5619594000.0,1252769000.0,0.705425516505285
