symbol,name,country,exchange,currency,data_source
GFS,G4S,United Kingdom,Unknown,GBP,investpy
TPK,Travis Perkins,United Kingdom,Unknown,GBP,investpy
SJP,St. James’s Place,United Kingdom,Unknown,GBP,investpy
VSVS,Vesuvius,United Kingdom,Unknown,GBP,investpy
SMIN,Smiths Group,United Kingdom,Unknown,GBP,investpy
IGG,IG Group,United Kingdom,Unknown,GBP,investpy
DRX,Drax Group,United Kingdom,Unknown,GBP,investpy
BAB,Babcock International,United Kingdom,Unknown,GBP,investpy
MRON,Melrose Industries,United Kingdom,Unknown,GBP,investpy
SDRt,Schroders,United Kingdom,Unknown,GBP,investpy
SN,Smith & Nephew,United Kingdom,Unknown,GBP,investpy
ITRK,Intertek,United Kingdom,Unknown,GBP,investpy
MAB,Mitchells Butlers,United Kingdom,Unknown,GBP,investpy
MTO,Mitie,United Kingdom,Unknown,GBP,investpy
POG,Petropavlovsk,United Kingdom,Unknown,GBP,investpy
AGGK,Aggreko,United Kingdom,Unknown,GBP,investpy
MNDI,Mondi,United Kingdom,Unknown,GBP,investpy
ROR,Rotork,United Kingdom,Unknown,GBP,investpy
WMH,William Hill,United Kingdom,Unknown,GBP,investpy
SBRY,J Sainsbury,United Kingdom,Unknown,GBP,investpy
PFG,Provident Financial,United Kingdom,Unknown,GBP,investpy
FGP,FirstGroup,United Kingdom,Unknown,GBP,investpy
CRDA,Croda Intl,United Kingdom,Unknown,GBP,investpy
WIN,Wincanton,United Kingdom,Unknown,GBP,investpy
NG,National Grid,United Kingdom,Unknown,GBP,investpy
EIGE,EI Group,United Kingdom,Unknown,GBP,investpy
IMI,IMI,United Kingdom,Unknown,GBP,investpy
KIE,Kier Group,United Kingdom,Unknown,GBP,investpy
PMO,Premier Oil,United Kingdom,Unknown,GBP,investpy
BT,BT Group,United Kingdom,Unknown,GBP,investpy
INCH,Inchcape,United Kingdom,Unknown,GBP,investpy
HTG,Hunting,United Kingdom,Unknown,GBP,investpy
SGRO,Segro,United Kingdom,Unknown,GBP,investpy
SGC,Stagecoach,United Kingdom,Unknown,GBP,investpy
SDR,Schroders,United Kingdom,Unknown,GBP,investpy
ITV,ITV,United Kingdom,Unknown,GBP,investpy
RTO,Rentokil,United Kingdom,Unknown,GBP,investpy
CPG,Compass,United Kingdom,Unknown,GBP,investpy
HAYS,Hays,United Kingdom,Unknown,GBP,investpy
ICP,Intermediate Capital,United Kingdom,Unknown,GBP,investpy
ULE,Ultra Electronics,United Kingdom,Unknown,GBP,investpy
TPT,Topps Tiles,United Kingdom,Unknown,GBP,investpy
SREI,Schroder RE,United Kingdom,Unknown,GBP,investpy
CCL,Carnival,United Kingdom,Unknown,GBP,investpy
RPT,Regal,United Kingdom,Unknown,GBP,investpy
HSX,Hiscox,United Kingdom,Unknown,GBP,investpy
ASL,Aberforth Smaller,United Kingdom,Unknown,GBP,investpy
SVS,Savills,United Kingdom,Unknown,GBP,investpy
RNK,Rank Group,United Kingdom,Unknown,GBP,investpy
LAND,Land Securities,United Kingdom,Unknown,GBP,investpy
CCC,Computacenter,United Kingdom,Unknown,GBP,investpy
CLDN,Caledonia Invest,United Kingdom,Unknown,GBP,investpy
MCRO,Micro Focus,United Kingdom,Unknown,GBP,investpy
