symbol,name,country,exchange,currency,data_source
PSHP,Pershing Square,United Kingdom,Unknown,GBP,investpy
ALFAAL,Alfa Financial,United Kingdom,Unknown,GBP,investpy
CTEC,ConvaTec Group,United Kingdom,Unknown,GBP,investpy
ALML,Allied Mind,United Kingdom,Unknown,GBP,investpy
CMCX,CMC Markets,United Kingdom,Unknown,GBP,investpy
AO,Ao World,United Kingdom,Unknown,GBP,investpy
RDSb,Royal Dutch Shell B,United Kingdom,Unknown,GBP,investpy
BASFn,BASF,Germany,Unknown,EUR,investpy
BAYGn,Bayer,Germany,Unknown,EUR,investpy
ALVG,Allianz,Germany,Unknown,EUR,investpy
ADSGn,Adidas,Germany,Unknown,EUR,investpy
LHAG,Lufthansa,Germany,Unknown,EUR,investpy
SIEGn,Siemens AG,Germany,Unknown,EUR,investpy
VOWG,Volkswagen ST,Germany,Unknown,EUR,investpy
DBKGn,Deutsche Bank AG,Germany,Unknown,EUR,investpy
CONG,Continental AG,Germany,Unknown,EUR,investpy
DPWGn,Deutsche Post,Germany,Unknown,EUR,investpy
DAIGn,Daimler,Germany,Unknown,EUR,investpy
PSHG_p,Porsche,Germany,Unknown,EUR,investpy
HNKG_p,Henkel VZO,Germany,Unknown,EUR,investpy
CBKG,Commerzbank,Germany,Unknown,EUR,investpy
DB1Gn,Deutsche Boerse,Germany,Unknown,EUR,investpy
BMWG,BMW ST,Germany,Unknown,EUR,investpy
FMEG,Fresenius ST,Germany,Unknown,EUR,investpy
DTEGn,Deutsche Telekom AG,Germany,Unknown,EUR,investpy
MANG,Man SE,Germany,Unknown,EUR,investpy
MRCG,Merck,Germany,Unknown,EUR,investpy
IFXGn,Infineon,Germany,Unknown,EUR,investpy
CECG,Ceconomy,Germany,Unknown,EUR,investpy
MUVGn,Muench. Rueckvers.,Germany,Unknown,EUR,investpy
SAPG,SAP,Germany,Unknown,EUR,investpy
TKAG,Thyssenkrupp AG,Germany,Unknown,EUR,investpy
RHMG,Rheinmetall AG,Germany,Unknown,EUR,investpy
TUIGn,Tui,Germany,Unknown,EUR,investpy
WDIG,Wirecard AG,Germany,Unknown,EUR,investpy
LXSG,Lanxess AG,Germany,Unknown,EUR,investpy
BEIG,Beiersdorf AG,Germany,Unknown,EUR,investpy
FREG,Fresenius SE,Germany,Unknown,EUR,investpy
FNTGn,Freenet AG,Germany,Unknown,EUR,investpy
SZGG,Salzgitter AG,Germany,Unknown,EUR,investpy
A3B,Acco Brands,Germany,Unknown,EUR,investpy
FRAG,Fraport AG,Germany,Unknown,EUR,investpy
WCHG,Wacker Chemie,Germany,Unknown,EUR,investpy
QSCG,QSC AG,Germany,Unknown,EUR,investpy
ZILGn,Elringklinger AG,Germany,Unknown,EUR,investpy
VOSG,Vossloh AG,Germany,Unknown,EUR,investpy
KRNG,Krones AG,Germany,Unknown,EUR,investpy
G1AG,GEA Group AG,Germany,Unknown,EUR,investpy
HNRGn,Hannover Rueckversicherung SE,Germany,Unknown,EUR,investpy
GBFG,Bilfinger SE,Germany,Unknown,EUR,investpy
DRWG_p,Draegerwerk VZO,Germany,Unknown,EUR,investpy
SOWGn,Software AG,Germany,Unknown,EUR,investpy
KCOGn,Kloeckner SE,Germany,Unknown,EUR,investpy
HOTG,Hochtief AG,Germany,Unknown,EUR,investpy
RWEG,RWE AG ST,Germany,Unknown,EUR,investpy
DEQGn,Deutsche Euroshop AG,Germany,Unknown,EUR,investpy
NDXG,Nordex SE,Germany,Unknown,EUR,investpy
NAFG,Aurubis AG,Germany,Unknown,EUR,investpy
A6W,Alexandria RE,Germany,Unknown,EUR,investpy
AIXGn,Aixtron,Germany,Unknown,EUR,investpy
RHKG,Rhoen-Klinikum,Germany,Unknown,EUR,investpy
GILG,DMG Mori Seiki,Germany,Unknown,EUR,investpy
ABM,ABM Industries,Germany,Unknown,EUR,investpy
SGCG,SGL Carbon SE,Germany,Unknown,EUR,investpy
SDFGn,K+S AG,Germany,Unknown,EUR,investpy
MTXGn,MTU Aero,Germany,Unknown,EUR,investpy
SZUG,Suedzucker,Germany,Unknown,EUR,investpy
HDDG,Heidelberger Druckmaschinen,Germany,Unknown,EUR,investpy
ARLG,Aareal Bank AG,Germany,Unknown,EUR,investpy
B5AG,Bauer AG,Germany,Unknown,EUR,investpy
DEZG,Deutz AG,Germany,Unknown,EUR,investpy
SY1G,Symrise AG,Germany,Unknown,EUR,investpy
CTNGk,Centrotherm,Germany,Unknown,EUR,investpy
PV,Pfeiffer,Germany,Unknown,EUR,investpy
SNGGk,Singulus Tech,Germany,Unknown,EUR,investpy
HEIG,Heidelbergcement,Germany,Unknown,EUR,investpy
AD8,Arcos Dorados,Germany,Unknown,EUR,investpy
QIA,Qiagen,Germany,Unknown,EUR,investpy
ADC,Agree,Germany,Unknown,EUR,investpy
UTDI,United Internet AG,Germany,Unknown,EUR,investpy
LEOGn,Leoni AG,Germany,Unknown,EUR,investpy
GGS,Gigaset AG,Germany,Unknown,EUR,investpy
AEL,American Equity Inv. Life,Germany,Unknown,EUR,investpy
AF4,The Hanover Insurance,Germany,Unknown,EUR,investpy
MORG,Morphosys AG,Germany,Unknown,EUR,investpy
M5ZG,Manz AG,Germany,Unknown,EUR,investpy
MDNG,Medion AG,Germany,Unknown,EUR,investpy
AGM,Federal Agricultural Mortgage,Germany,Unknown,EUR,investpy
AFXG,Carl Zeiss AG,Germany,Unknown,EUR,investpy
BOSSn,Hugo Boss AG,Germany,Unknown,EUR,investpy
LOGNn,Logitech,Germany,Unknown,EUR,investpy
SIEGn,Siemens AG,Germany,Unknown,EUR,investpy
BC8G,Bechtle AG,Germany,Unknown,EUR,investpy
ERICb,LM Ericsson B,Germany,Unknown,EUR,investpy
MLPG,MLP AG,Germany,Unknown,EUR,investpy
55O1,Apollo Invest,Germany,Unknown,EUR,investpy
ADAG,Adva Optical,Germany,Unknown,EUR,investpy
CBRO,Close Brothers,Germany,Unknown,EUR,investpy
DGII,Digi,Germany,Unknown,EUR,investpy
MQFA,Avocet Mining,Germany,Unknown,EUR,investpy
STM,STMicroelectronics,Germany,Unknown,EUR,investpy
EURA,Eurazeo,Germany,Unknown,EUR,investpy
KORI,Korian Medica,Germany,Unknown,EUR,investpy
PC6Ay,PetroChina ADR,Germany,Unknown,EUR,investpy
TQK,The Wendy’s Co,Germany,Unknown,EUR,investpy
RIOAy,Rio Tinto ADR,Germany,Unknown,EUR,investpy
GTTG,Tegna,Germany,Unknown,EUR,investpy
GSKy,GlaxoSmithKline ADR,Germany,Unknown,EUR,investpy
CCLC,Carnival Corp,Germany,Unknown,EUR,investpy
ARRJy,ArcelorMittal ADR,Germany,Unknown,EUR,investpy
NJy,Nidec,Germany,Unknown,EUR,investpy
BHPy,BHP Billiton Ltd ADR,Germany,Unknown,EUR,investpy
DIO,Diodes,Germany,Unknown,EUR,investpy
NOKy,Nokia ADR,Germany,Unknown,EUR,investpy
MCa,Panasonic,Germany,Unknown,EUR,investpy
ACEL,Chubb,Germany,Unknown,EUR,investpy
EPWA,Montage Resources,Germany,Unknown,EUR,investpy
HITy,Hitachi ADR,Germany,Unknown,EUR,investpy
STEL,SingTel,Germany,Unknown,EUR,investpy
31L,Sylvania,Germany,Unknown,EUR,investpy
INVP,Investec,Germany,Unknown,EUR,investpy
DRFNy,Gold Fields ADR,Germany,Unknown,EUR,investpy
NPNJ,Naspers,Germany,Unknown,EUR,investpy
AODCq,AngloGold Ashanti DRC,Germany,Unknown,EUR,investpy
SLMJ,Sanlam Ltd,Germany,Unknown,EUR,investpy
INVP,Investec,Germany,Unknown,EUR,investpy
AVA,Avista,Germany,Unknown,EUR,investpy
0941,China Mobile,Germany,Unknown,EUR,investpy
BUDy,Anheuser Busch ADR,Germany,Unknown,EUR,investpy
AIRG,Airbus Group,Germany,Unknown,EUR,investpy
HDJA,Janus Henderson,Germany,Unknown,EUR,investpy
6762,TDK,Germany,Unknown,EUR,investpy
TJH7,Tie Holding,Germany,Unknown,EUR,investpy
NNN1y,Tencent ADR,Germany,Unknown,EUR,investpy
DISCKc,Discovery Communications C,Germany,Unknown,EUR,investpy
EONGn,E.ON SE,Germany,Unknown,EUR,investpy
ELO1,Eldorado Gold,Germany,Unknown,EUR,investpy
CRNT,Ceragon,Germany,Unknown,EUR,investpy
ITRN,Ituran,Germany,Unknown,EUR,investpy
MLNX,Mellanox,Germany,Unknown,EUR,investpy
2F5,Biondvax Pharma ADR,Germany,Unknown,EUR,investpy
SILC,Silicom,Germany,Unknown,EUR,investpy
CTCH,Cyren,Germany,Unknown,EUR,investpy
CPTGy,Collplant ADR,Germany,Unknown,EUR,investpy
4TXAy,Therapix Biosciences,Germany,Unknown,EUR,investpy
2EBAy,Cellect Biotech,Germany,Unknown,EUR,investpy
ODHN,Orascom Development,Germany,Unknown,EUR,investpy
IMX,Imax,Germany,Unknown,EUR,investpy
SAPGy_p,SAP ADR,Germany,Unknown,EUR,investpy
VODIy,Vodafone Group ADR,Germany,Unknown,EUR,investpy
QIA,Qiagen,Germany,Unknown,EUR,investpy
DLGS,Dialog,Germany,Unknown,EUR,investpy
RR5,Range Resources Ltd,Germany,Unknown,EUR,investpy
JENGn,Jenoptik,Germany,Unknown,EUR,investpy
GWIG,Gerry Weber,Germany,Unknown,EUR,investpy
AITN,Applied Industrial Technologies,Germany,Unknown,EUR,investpy
GMMG,Grammer AG,Germany,Unknown,EUR,investpy
DRIG,Drillisch AG,Germany,Unknown,EUR,investpy
BIONn,BB Biotech,Germany,Unknown,EUR,investpy
BKP6,Piraeus Bank,Germany,Unknown,EUR,investpy
1ZD,Interoil,Germany,Unknown,EUR,investpy
LN3,Jefferies Financial,Germany,Unknown,EUR,investpy
G1V,MC Mining,Germany,Unknown,EUR,investpy
PVR1,Patagonia Gold,Germany,Unknown,EUR,investpy
PXSL,Provexis,Germany,Unknown,EUR,investpy
ALGR,Alamo,Germany,Unknown,EUR,investpy
BNRGn,Brenntag AG,Germany,Unknown,EUR,investpy
FIEG,Fielmann AG,Germany,Unknown,EUR,investpy
FPE4y,Fuchs Petrolub ADR,Germany,Unknown,EUR,investpy
FPEG_p,Fuchs Petrolub AG VZO Pref,Germany,Unknown,EUR,investpy
AVD,American Vanguard,Germany,Unknown,EUR,investpy
ROSNqa,Rosneft,Germany,Unknown,EUR,investpy
S92G,SMA Solar AG,Germany,Unknown,EUR,investpy
SMHNn,Suess Microtec,Germany,Unknown,EUR,investpy
VBKG,Verbio Vereinigte,Germany,Unknown,EUR,investpy
CEPD,CTi Biopharma,Germany,Unknown,EUR,investpy
WHS,Warehouse Group,Germany,Unknown,EUR,investpy
AQG,Alacer Gold DRC,Germany,Unknown,EUR,investpy
AAP,Azure Health,Germany,Unknown,AUD,investpy
MYR,Myer Holdings,Germany,Unknown,EUR,investpy
YM1,Panoramic Resources,Germany,Unknown,EUR,investpy
QRL,Aurizon Holdings,Germany,Unknown,EUR,investpy
S2Z,Sandfire Resources,Germany,Unknown,EUR,investpy
T7W,Treasury Wine Estates,Germany,Unknown,EUR,investpy
G2O,Golar,Germany,Unknown,EUR,investpy
RCL,Royal Caribbean Cruises,Germany,Unknown,EUR,investpy
6LA,Lamar,Germany,Unknown,EUR,investpy
SAN,Santander,Germany,Unknown,EUR,investpy
SNC,Sonaecom,Germany,Unknown,EUR,investpy
SVO,Sacyr,Germany,Unknown,EUR,investpy
RRTL,RTL Group,Germany,Unknown,EUR,investpy
VOPA,Vopak,Germany,Unknown,EUR,investpy
ACGL,Arch Capital,Germany,Unknown,EUR,investpy
9AC,AMC Networks,Germany,Unknown,EUR,investpy
AMPP,Ampio Pharm,Germany,Unknown,EUR,investpy
AMRNy,Amarin,Germany,Unknown,EUR,investpy
2UH,ANGI Homeservices,Germany,Unknown,EUR,investpy
DLBa,Dolby Labs,Germany,Unknown,EUR,investpy
ATSG,Air Transport Services,Germany,Unknown,EUR,investpy
DLX,Deluxe,Germany,Unknown,EUR,investpy
AZPN,Aspen,Germany,Unknown,EUR,investpy
DNYY,Denny’s,Germany,Unknown,EUR,investpy
BSFA,ANI Pharma,Germany,Unknown,EUR,investpy
PP4A,Popular,Germany,Unknown,EUR,investpy
BRKR,Bruker,Germany,Unknown,EUR,investpy
CUCA,Avis,Germany,Unknown,EUR,investpy
CBOE,Cboe Global,Germany,Unknown,EUR,investpy
CENX,Century Aluminum,Germany,Unknown,EUR,investpy
SIy,Siemens ADR,Germany,Unknown,EUR,investpy
FDV1,Digirad,Germany,Unknown,EUR,investpy
CPRT,Copart,Germany,Unknown,EUR,investpy
CVLT,CommVault,Germany,Unknown,EUR,investpy
DECK,Deckers Outdoor,Germany,Unknown,EUR,investpy
ENMD,Casi Pharma,Germany,Unknown,EUR,investpy
ESLT,Elbit Systems,Germany,Unknown,EUR,investpy
EXEL,Exelixis,Germany,Unknown,EUR,investpy
FOSL,Fossil,Germany,Unknown,EUR,investpy
GGALyb,Grupo Financiero Galicia ADR,Germany,Unknown,EUR,investpy
GLGL,GLG Life Tech,Germany,Unknown,EUR,investpy
G2U,Gulfport,Germany,Unknown,EUR,investpy
G5Na,Groupon,Germany,Unknown,EUR,investpy
P8S,Globalstar Inc,Germany,Unknown,EUR,investpy
IKIA,Iconix Brand,Germany,Unknown,EUR,investpy
DSX,Diana Shipping,Germany,Unknown,EUR,investpy
LECO,Lincoln Electrics,Germany,Unknown,EUR,investpy
33L,Lululemon Athletica,Germany,Unknown,EUR,investpy
M6X2,Yield10 Bioscience,Germany,Unknown,EUR,investpy
MLNX,Mellanox,Germany,Unknown,EUR,investpy
MPEy,Melco Resorts & Entertainment,Germany,Unknown,EUR,investpy
SIy,Siemens ADR,Germany,Unknown,EUR,investpy
MYRX,Myrexis Inc Cmn Stk,Germany,Unknown,EUR,investpy
NR1A,National Research,Germany,Unknown,EUR,investpy
ODFL,Old Dominion Freight Line,Germany,Unknown,EUR,investpy
PBCT,People’s United,Germany,Unknown,EUR,investpy
PVDA,Sterling Bancorp,Germany,Unknown,EUR,investpy
PENN,Penn National Gaming,Germany,Unknown,EUR,investpy
PIGG,Perrigo,Germany,Unknown,EUR,investpy
DUM,Ducommun,Germany,Unknown,EUR,investpy
QY1,Nextgen Healthcare,Germany,Unknown,EUR,investpy
REED,Reed’s,Germany,Unknown,EUR,investpy
REGN,Regeneron Pharma,Germany,Unknown,EUR,investpy
3T3,TiVo,Germany,Unknown,EUR,investpy
4SB,SBA Communications,Germany,Unknown,EUR,investpy
SL2,Sleep Number,Germany,Unknown,EUR,investpy
SNPS,Synopsys,Germany,Unknown,EUR,investpy
8SO,Sonos,Germany,Unknown,EUR,investpy
SWKS,Skyworks,Germany,Unknown,EUR,investpy
RVS1,Dawson Geophysical,Germany,Unknown,EUR,investpy
I9DN,Arbutus Biopharma,Germany,Unknown,EUR,investpy
37Z,Allakos,Germany,Unknown,EUR,investpy
TB5,Trimble,Germany,Unknown,EUR,investpy
T98,Wright Medical,Germany,Unknown,EUR,investpy
TRCT,Tractor Supply,Germany,Unknown,EUR,investpy
TSEM,Tower,Germany,Unknown,EUR,investpy
TXM1,Travelzoo,Germany,Unknown,EUR,investpy
ULTA,Ulta Beauty,Germany,Unknown,EUR,investpy
UTHR,United Therapeutics,Germany,Unknown,EUR,investpy
CR3,Corindus Vascular Robotics,Germany,Unknown,EUR,investpy
VCC2,Vical,Germany,Unknown,EUR,investpy
VRNT,Verint,Germany,Unknown,EUR,investpy
VA7A,Verisk,Germany,Unknown,EUR,investpy
WLBU,Westmoreland Coal,Germany,Unknown,EUR,investpy
WPT,Westport Fuel,Germany,Unknown,EUR,investpy
AJPG,Artprice Com,Germany,Unknown,EUR,investpy
FFPP,FFP,Germany,Unknown,EUR,investpy
LAGA,Lagardere,Germany,Unknown,EUR,investpy
BICy,BanColombia,Germany,Unknown,EUR,investpy
BKY,Berkeley Energy,Germany,Unknown,EUR,investpy
EQXa,Equatorial Resources,Germany,Unknown,EUR,investpy
WE7,Evolution Mining,Germany,Unknown,EUR,investpy
EXR2,EXCO Resources,Germany,Unknown,EUR,investpy
ELYA,G8 Education,Germany,Unknown,EUR,investpy
RR5,Range Resources Ltd,Germany,Unknown,EUR,investpy
WEB,Webjet,Germany,Unknown,EUR,investpy
VALE3,VALE ON,Germany,Unknown,EUR,investpy
PWTN,Panalpina Welttransport,Germany,Unknown,EUR,investpy
2HR,H&R,Germany,Unknown,EUR,investpy
AOXG,Alstria,Germany,Unknown,EUR,investpy
AMDG,Amadeus Fire AG,Germany,Unknown,EUR,investpy
BIOG_p,Biotest AG VZ,Germany,Unknown,EUR,investpy
CDBG,Comdirect AG,Germany,Unknown,EUR,investpy
CEVG,Centrotec,Germany,Unknown,EUR,investpy
CWCG,Cewe Color,Germany,Unknown,EUR,investpy
DICn,DIC Asset AG,Germany,Unknown,EUR,investpy
DBANn,Deutsche Beteiligungs AG,Germany,Unknown,EUR,investpy
DUEG,Duerr AG,Germany,Unknown,EUR,investpy
EV4G,Constantin Medien AG,Germany,Unknown,EUR,investpy
EVDG,CTS Eventim AG,Germany,Unknown,EUR,investpy
GLJn,Grenke,Germany,Unknown,EUR,investpy
GSC1n,Gesco AG,Germany,Unknown,EUR,investpy
HABG,Hamborner AG,Germany,Unknown,EUR,investpy
HAWG,Hawesko AG,Germany,Unknown,EUR,investpy
HBH,Hornbach,Germany,Unknown,EUR,investpy
HLGZ,Highlight Communications,Germany,Unknown,EUR,investpy
INHG,Indus AG,Germany,Unknown,EUR,investpy
JUNG_p,Jungheinrich AG,Germany,Unknown,EUR,investpy
KWSG,KWS SAAT AG,Germany,Unknown,EUR,investpy
MVVGn,MVV Energie AG,Germany,Unknown,EUR,investpy
NOEJ,Norma AG,Germany,Unknown,EUR,investpy
O2C,Petro Welt Tech,Germany,Unknown,EUR,investpy
PATGn,Patrizia Immobilien,Germany,Unknown,EUR,investpy
SAXG,Stroeer,Germany,Unknown,EUR,investpy
SCUGe,Schuler AG,Germany,Unknown,EUR,investpy
SFQN,SAF Holland,Germany,Unknown,EUR,investpy
SIXG,Sixt AG ST,Germany,Unknown,EUR,investpy
SKBG,Koenig&Bauer AG,Germany,Unknown,EUR,investpy
SLTG,Schaltbau,Germany,Unknown,EUR,investpy
TEGG,Tag Immobilien,Germany,Unknown,EUR,investpy
TIMAn,ZEAL Network SE,Germany,Unknown,EUR,investpy
TTIGn,Tom Tailor AG,Germany,Unknown,EUR,investpy
TTKG,Takkt AG,Germany,Unknown,EUR,investpy
WACGn,Wacker Neuson,Germany,Unknown,EUR,investpy
ZO1G,Zooplus AG,Germany,Unknown,EUR,investpy
EVTG,Evotec AG,Germany,Unknown,EUR,investpy
NWOn,New Work,Germany,Unknown,EUR,investpy
PSAGn,PSI AG,Germany,Unknown,EUR,investpy
SBSG,STRATEC Biomedical,Germany,Unknown,EUR,investpy
GIBG,GSW Immobilien AG,Germany,Unknown,EUR,investpy
LM,Legg Mason,Germany,Unknown,EUR,investpy
T6A,TripAdvisor,Germany,Unknown,EUR,investpy
WPEn,WPX Energy,Germany,Unknown,EUR,investpy
XY6,Xylem,Germany,Unknown,EUR,investpy
CTNGk,Centrotherm,Germany,Unknown,EUR,investpy
AVMR,Meritor,Germany,Unknown,EUR,investpy
55O1,Apollo Invest,Germany,Unknown,EUR,investpy
DXCM,DexCom,Germany,Unknown,EUR,investpy
AVT,Avnet,Germany,Unknown,EUR,investpy
HG1G,Homag AG,Germany,Unknown,EUR,investpy
AEL,American Equity Inv. Life,Germany,Unknown,EUR,investpy
AVD,American Vanguard,Germany,Unknown,EUR,investpy
M5ZG,Manz AG,Germany,Unknown,EUR,investpy
SNGGk,Singulus Tech,Germany,Unknown,EUR,investpy
AVX,AVX,Germany,Unknown,EUR,investpy
UUUG,3U Holding AG,Germany,Unknown,EUR,investpy
VSCk,4 SC AG,Germany,Unknown,EUR,investpy
AAQG,AAP Implantate AG,Germany,Unknown,EUR,investpy
APME,AD Pepper Media,Germany,Unknown,EUR,investpy
AZZ,AZZ,Germany,Unknown,EUR,investpy
ADDG,Adler Modemaerkte AG,Germany,Unknown,EUR,investpy
AGXG,Agennix AG,Germany,Unknown,EUR,investpy
AAHG,Ahlers,Germany,Unknown,EUR,investpy
B,Barnes,Germany,Unknown,EUR,investpy
E0P,Enphase,Germany,Unknown,EUR,investpy
B8JN,Basic Energy Services,Germany,Unknown,EUR,investpy
AYDGn,Artnet AG,Germany,Unknown,EUR,investpy
ACWNn,AS Creation Tapeten,Germany,Unknown,EUR,investpy
AOFG,Atoss AG,Germany,Unknown,EUR,investpy
BSLG,Basler AG,Germany,Unknown,EUR,investpy
BYWG,Baywa AG,Germany,Unknown,EUR,investpy
BAH,Booz Allen Hamilton,Germany,Unknown,EUR,investpy
BIOG,Biotest AG ST,Germany,Unknown,EUR,investpy
BTBB,SLEEPZ,Germany,Unknown,EUR,investpy
BMWG_p,BMW Pref,Germany,Unknown,EUR,investpy
BMMG,Brueder Mannesmann,Germany,Unknown,EUR,investpy
COKG,Cancom SE,Germany,Unknown,EUR,investpy
CSHG,Cenit AG,Germany,Unknown,EUR,investpy
EBIX,Ebix,Germany,Unknown,EUR,investpy
CSGG,China Specialty Glass AG,Germany,Unknown,EUR,investpy
ECHO,Echo Global,Germany,Unknown,EUR,investpy
COPMa,CompuGroup AG,Germany,Unknown,EUR,investpy
3ER,US Ecology,Germany,Unknown,EUR,investpy
CE2G,Cropenergies AG,Germany,Unknown,EUR,investpy
ECPG,Encore Capital,Germany,Unknown,EUR,investpy
BDN,Brandywine,Germany,Unknown,EUR,investpy
DAMG,Data Modul AG,Germany,Unknown,EUR,investpy
LOUDG,DEAG AG,Germany,Unknown,EUR,investpy
DFTKn,DF Deutsche Forfait AG,Germany,Unknown,EUR,investpy
HNLG,Dr. Hoenle AG,Germany,Unknown,EUR,investpy
DRWG,Draegerwerk ST,Germany,Unknown,EUR,investpy
BE4A,Beazer Homes USA,Germany,Unknown,EUR,investpy
BGSN,B&G Foods,Germany,Unknown,EUR,investpy
EUZG,Eckert&Ziegler AG,Germany,Unknown,EUR,investpy
E4CG,Ecotel AG,Germany,Unknown,EUR,investpy
EING_p,Einhell VZO,Germany,Unknown,EUR,investpy
EE,El Paso Electric,Germany,Unknown,EUR,investpy
ELGG,Elmos AG,Germany,Unknown,EUR,investpy
ETGG,Envitec,Germany,Unknown,EUR,investpy
ECXn,Epigenomics AG,Germany,Unknown,EUR,investpy
SQ7B,Biglari,Germany,Unknown,EUR,investpy
A4Y,Accentro Real Estate,Germany,Unknown,EUR,investpy
EUCAn,Euromicron AG,Germany,Unknown,EUR,investpy
EWI1,Electrawinds SE A,Germany,Unknown,EUR,investpy
EXCL,exceet Group,Germany,Unknown,EUR,investpy
FAAS,Fabasoft AG,Germany,Unknown,EUR,investpy
FVIG,Fair Value AG,Germany,Unknown,EUR,investpy
SISG,First Sensor AG,Germany,Unknown,EUR,investpy
FEVG,Fortec,Germany,Unknown,EUR,investpy
FPHG,Francotyp-Postalia,Germany,Unknown,EUR,investpy
BID,Sotheby’s,Germany,Unknown,EUR,investpy
FEWG,Funkwerk AG,Germany,Unknown,EUR,investpy
GMEG,Geratherm,Germany,Unknown,EUR,investpy
GFTG,GFT Technologies AG,Germany,Unknown,EUR,investpy
GKSG,GK Software,Germany,Unknown,EUR,investpy
EFII,Electronics for Imaging,Germany,Unknown,EUR,investpy
G7BG,GWB Immobilien,Germany,Unknown,EUR,investpy
BIOa,Bio-Rad Labs,Germany,Unknown,EUR,investpy
HXCKk,Ernst Russ,Germany,Unknown,EUR,investpy
HPBGn,Heliad,Germany,Unknown,EUR,investpy
HNKG,Henkel ST,Germany,Unknown,EUR,investpy
HWSAk,METRIC Mobility Solutions,Germany,Unknown,EUR,investpy
HBMG,Hornbach-Baumarkt,Germany,Unknown,EUR,investpy
HYQGn,Hypoport AG,Germany,Unknown,EUR,investpy
EG1,Virtusa,Germany,Unknown,EUR,investpy
EGB,The Ensign,Germany,Unknown,EUR,investpy
IXXG,Init Innovation,Germany,Unknown,EUR,investpy
EGCA,eGain,Germany,Unknown,EUR,investpy
ISHG,Intershop,Germany,Unknown,EUR,investpy
IS7G,Intica Systems AG,Germany,Unknown,EUR,investpy
IVXG,Invision AG,Germany,Unknown,EUR,investpy
ISRG,Isra Vision,Germany,Unknown,EUR,investpy
BKS,Barnes&Noble,Germany,Unknown,EUR,investpy
IVUG,IVU Traffic,Germany,Unknown,EUR,investpy
EGHT,8x8,Germany,Unknown,EUR,investpy
EGOV,NIC,Germany,Unknown,EUR,investpy
K1RG,Kromi,Germany,Unknown,EUR,investpy
KU2G,Kuka AG,Germany,Unknown,EUR,investpy
LEIG,Leifheit AG,Germany,Unknown,EUR,investpy
L1OGk,Lloyd Fonds AG,Germany,Unknown,EUR,investpy
EGVY,Ever-Glory,Germany,Unknown,EUR,investpy
TGHN,Logwin,Germany,Unknown,EUR,investpy
LPKG,LPKF,Germany,Unknown,EUR,investpy
ECKG,Ludwig Beck,Germany,Unknown,EUR,investpy
EGY,Vaalco Energy,Germany,Unknown,EUR,investpy
MANG_p,Man SE VZO,Germany,Unknown,EUR,investpy
BKU,BankUnited,Germany,Unknown,EUR,investpy
MZXG,Masterflex,Germany,Unknown,EUR,investpy
MBBG,MBB Industries AG,Germany,Unknown,EUR,investpy
MEDG,MediClin AG,Germany,Unknown,EUR,investpy
CEC1_p,Metro,Germany,Unknown,EUR,investpy
M3VGn,MeVis,Germany,Unknown,EUR,investpy
MBQGn,Mobotix AG,Germany,Unknown,EUR,investpy
MGNK,Mologen,Germany,Unknown,EUR,investpy
MUBG,Muehlbauer,Germany,Unknown,EUR,investpy
NEKG,Nemetschek AG,Germany,Unknown,EUR,investpy
NXUG,Nexus,Germany,Unknown,EUR,investpy
BOH,Bank of Hawaii,Germany,Unknown,EUR,investpy
OHBG,OHB AG,Germany,Unknown,EUR,investpy
BRKa,Berkshire Hathaway,Germany,Unknown,EUR,investpy
O4BG,OVB Holding AG,Germany,Unknown,EUR,investpy
EIG,Employers,Germany,Unknown,EUR,investpy
PA8G,Paion,Germany,Unknown,EUR,investpy
PGNG,Paragon AG,Germany,Unknown,EUR,investpy
RM11,Endologix,Germany,Unknown,EUR,investpy
PNEGn,PNE Wind AG,Germany,Unknown,EUR,investpy
ELY,Callaway Golf,Germany,Unknown,EUR,investpy
BRO,Brown&Brown,Germany,Unknown,EUR,investpy
BW,Materion,Germany,Unknown,EUR,investpy
PWOG,Progress Werk Oberkirch,Germany,Unknown,EUR,investpy
PUS,Pulsion,Germany,Unknown,EUR,investpy
TPEG,PVA Tepla AG,Germany,Unknown,EUR,investpy
SANT1,S&T AG,Germany,Unknown,EUR,investpy
RSL2,R. Stahl AG,Germany,Unknown,EUR,investpy
RTCG,Realtech AG,Germany,Unknown,EUR,investpy
BYD,Boyd Gaming,Germany,Unknown,EUR,investpy
RIB,RIB Software AG,Germany,Unknown,EUR,investpy
C08,Caesars,Germany,Unknown,EUR,investpy
RWEG_p,RWE AG VZO,Germany,Unknown,EUR,investpy
ENS,Enersys,Germany,Unknown,EUR,investpy
SATG,Sartorius AG,Germany,Unknown,EUR,investpy
SATG_p,Sartorius AG VZO,Germany,Unknown,EUR,investpy
YSNG,Secunet AG,Germany,Unknown,EUR,investpy
C9S,CannTrust,Germany,Unknown,EUR,investpy
F3CG,SFC Energy AG,Germany,Unknown,EUR,investpy
SW1,SHW AG,Germany,Unknown,EUR,investpy
SZZG,Sinnerschrader,Germany,Unknown,EUR,investpy
SIXG_p,Sixt AG VZO,Germany,Unknown,EUR,investpy
S4AG,SMT Scharf AG,Germany,Unknown,EUR,investpy
SYTG,Softing AG,Germany,Unknown,EUR,investpy
SFXG,Solar-Fabrik AG,Germany,Unknown,EUR,investpy
ENZ,Enzo Biochem,Germany,Unknown,EUR,investpy
